Tm,players_on_dl,days_on_dl,dl_batters,days_dl_batters,dl_pitchers,days_dl_pitchers
LAD,27,1981,10,801,17,1180
NYM,19,1518,10,684,9,834
SEA,17,1492,5,250,12,1242
TOR,25,1981,13,993,12,988
BOS,21,1832,7,531,13,1228
WSN,22,1518,11,885,11,633
LAA,17,1631,5,245,12,1386
TEX,20,1172,6,364,14,808
MIN,15,1111,6,142,9,969
NYY,18,933,10,587,7,330
MIA,15,969,4,390,11,579
SFG,22,1344,16,922,6,422
COL,19,1089,8,560,11,529
CIN,18,1401,7,315,11,1086
ARI,18,1254,9,603,8,441
CLE,15,1008,6,375,9,633
PHI,15,1010,6,262,8,700
STL,13,900,6,162,7,738
TBR,23,1831,11,653,12,1178
BAL,14,579,8,386,6,193
HOU,22,942,9,222,13,720
CHW,18,1466,9,642,9,824
MIL,15,521,7,213,8,308
DET,10,293,7,208,3,85
PIT,11,450,7,358,4,92
ATL,15,1163,6,315,9,848
SDP,18,1866,8,473,9,1325
CHC,10,234,4,118,6,116
KCR,17,1001,6,302,10,609
OAK,19,1309,7,481,12,828
